2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 대충은 알아야하지 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 대충이 아니라 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 걍 진짜 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: ㅈㄴ 조금만 알아도 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 코드 갖다붙이는건 하는데? 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 그걸 수정하려면 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 더 실력이 필요하고 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 아니 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 수정을 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 뭘했는데요? 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 그냥 영어로 적힌거 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: API player 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 한글로 바꾼게 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 전부아님? 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 게임 정보 수정 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 게임정보수정? 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: HypixelReborn 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: API 가져온건데 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: ? 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ? 
2021년 08월 10일 19시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 하픽 API나 이런걸로 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 정보 가져온다음에 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 표시한건데 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 아니 그니까 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 어디서 뿌려진거 주워와서 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 그거 걍 적힌거 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 수정한거 아니농? 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 카서님 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 뿌려진거 가져오는것도 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 실력입니다 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: - 제로 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 권진수#1234 | 메시지: 응애 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 맞습니다 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: -제로 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 근데 병신아 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 너 나중에 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 그렇게 살다가 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 저작권법 먹으면 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 좆되노 ㅋㅋ 
2021년 08월 10일 19시 56분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: MIT 라이센스 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 구분 잘 하고 있음 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 오 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: ㅋㅋ MIT 라이센스가 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 라이센스 구분한다는거 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: CustomNPC#5176 | 메시지: 뭔지 말해보셈 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 들으니까 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: ㅈㄴ 전형적인 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 병신같음 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 상업적 이용 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 개인적 이용가능한거 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 오류나도 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 책임 안 지는 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 그런거 아님? 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: ? 
2021년 08월 10일 19시 57분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ? 
2021년 08월 10일 19시 58분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 누가 오류나면 책임을짐 
2021년 08월 10일 19시 58분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 그건 뭔 라이센스든 
2021년 08월 10일 19시 58분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 책임 안질거같은데 
2021년 08월 10일 19시 58분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 암튼 MIT는 그런걸로 알고 있음 
2021년 08월 10일 20시 36분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 
2021년 08월 10일 20시 36분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지:  
2021년 08월 11일 13시 44분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ㅇ 
2021년 08월 11일 14시 12분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 반응설정 
2021년 08월 11일 14시 16분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 반응설정 
2021년 08월 11일 14시 17분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 반응설정 
2021년 08월 11일 14시 17분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ? 
2021년 08월 11일 14시 17분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 반응설정 ㅋㅋㄹㅃㅃ 
2021년 08월 11일 14시 24분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 반응설정 잠수 
2021년 08월 11일 14시 24분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지:  
2021년 08월 11일 14시 24분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: <@!811024871286505552> 
